forme	type	effectif
Diderot	NAME	8
Orion	NAME	8
Panchaud	NAMEpers	8
Plancenoit	NAMEpers	8
Pologne	NAMEplace	8
Révolution de juillet	NAME	8
Saint-Sulpice	NAMEplace	8
rue de Pontoise	NAMEplace	8
rue du cygne	NAMEplace	8
Asie	NAMEplace	7
Baloup	NAMEpers	7
Bicêtre	NAMEplace	7
Brunswick	NAMEpers	7
Corneille	NAME	7
Fabre	NAMEpers	7
Foy	NAMEpers	7
Hesdin	NAMEplace	7
Horace	NAME	7
Jean-Jacques	NAMEpers	7
Loire	NAMEplace	7
Mme Albertine	NAMEpers	7
Montmartre	NAMEplace	7
Néron	NAMEpers	7
Papelotte	NAMEpers	7
Saint-Jacques-du-Haut-Pas	NAMEpers	7
Saint-Médard	NAMEplace	7
Soult	NAMEpers	7
lieutenant Théodule	NAMEpers	7
rue de la verrerie	NAMEplace	7
Égypte	NAMEplace	7
Aix	NAMEplace	6
Allez-vous	NAMEpers	6
Anglès	NAMEplace	6
Angoulême	NAMEplace	6
Annibal	NAMEpers	6
Athènes	NAMEplace	6
Auvergne	NAMEplace	6
Bel-Air	NAMEpers	6
Belle-Alliance	NAMEpers	6
Buonaparte	NAMEpers	6
Chateaubriand	NAME	6
Châtelet	NAMEplace	6
Corse	NAMEplace	6
Diogène	NAMEpers	6
Eschyle	NAME	6
Fannicot	NAMEpers	6
Frischemont	NAMEpers	6
Gagny	NAMEplace	6
Grouchy	NAMEpers	6
Henri 4	NAMEpers	6
Henri IV	NAMEpers	6
Juvénal	NAME	6
Lacenaire	NAMEpers	6
Lyon	NAMEplace	6
Madelonnettes	NAMEpers	6
Meaux	NAMEplace	6
Nassau	NAMEpers	6
Orléans	NAMEplace	6
Pontarlier	NAMEplace	6
Père-Lachaise	NAMEpers	6
Reille	NAMEpers	6
Rossomme	NAMEpers	6
Saint-Antoine	NAMEplace	6
Saint-Paul	NAMEplace	6
Somerset	NAMEpers	6
Vienne	NAMEpers	6
Virgile	NAME	6
Washington	NAMEpers	6
de Cosette	NAMEpers	6
de Rohan	NAMEpers	6
faubourg Saint-Germain	NAMEplace	6
faubourg Saint-Marceau	NAMEplace	6
rue Mouffetard	NAMEplace	6
rue Saint-Antoine	NAMEplace	6
Afrique	NAMEplace	5
Bauduin	NAMEpers	5
Benjamin Constant	NAMEpers	5
Berlin	NAMEplace	5
Bernard	NAMEpers	5
Bretagne	NAMEplace	5
Bugeaud	NAMEpers	5
C'en	NAMEpers	5
Cournet	NAMEpers	5
David	NAMEpers	5
Delord	NAMEpers	5
Descartes	NAME	5
Fontainebleau	NAMEplace	5
Genflot	NAMEpers	5
Gisquet	NAMEpers	5
Hill	NAMEpers	5
Kempt	NAMEpers	5
Labarre	NAMEpers	5
Lesgle	NAMEpers	5
Livry	NAMEplace	5
Louis 17	NAMEpers	5
Léonidas	NAMEpers	5
Mirabeau	NAMEplace	5
O	NAMEpers	5
Pardine	NAMEpers	5
Passy	NAMEplace	5
Ponine	NAMEpers	5
Ponsonby	NAMEpers	5
Rabelais	NAME	5
Racine	NAME	5
Reims	NAMEplace	5
Richefeu	NAMEpers	5
Romainville	NAMEplace	5
Russie	NAMEplace	5
Saint-Just	NAMEplace	5
Saint-Louis	NAMEplace	5
Saint-Michel	NAMEplace	5
Saint-Pol	NAMEpers	5
Sainte-Hélène	NAMEplace	5
Socrate	NAME	5
Talma	NAMEpers	5
Thénard	NAMEpers	5
Tinques	NAMEpers	5
Toulouse	NAMEplace	5
Tryphon	NAMEpers	5
Utrecht	NAMEpers	5
Valjean	NAMEpers	5
Villon	NAME	5
Vincennes	NAMEplace	5
Wurmser	NAMEpers	5
de Clermont-Tonnerre	NAMEpers	5
rue Neuve-Sainte-Geneviève	NAMEplace	5
rue Saint-Jacques	NAMEplace	5
rue du temple	NAMEplace	5
Ève	NAMEpers	5
île d' Elbe	NAMEplace	5
Alten	NAMEpers	4
Arcole	NAMEpers	4
Argenteuil	NAMEplace	4
Aspasie	NAMEpers	4
Aumarais	NAMEpers	4
Autriche	NAMEplace	4
Babeuf	NAMEpers	4
Balizard	NAMEpers	4
Bamatabois	NAMEpers	4
Belgique	NAMEplace	4
Belleville	NAMEplace	4
Berry	NAMEpers	4
Bertrand	NAMEpers	4
Blaru	NAMEplace	4
Bourgogne	NAMEplace	4
Camille Desmoulins	NAMEpers	4
Cent-Jours	NAMEpers	4
Chabouillet	NAMEpers	4
Christophe Colomb	NAMEpers	4
Cicéron	NAME	4
Clinton	NAMEpers	4
Cléopâtre	NAMEpers	4
Condorcet	NAME	4
Cougourde	NAMEpers	4
Cougourde d' Aix	NAMEplace	4
Croix-de-Colbas	NAMEpers	4
Cromwell	NAMEpers	4
Cunette	NAMEpers	4
Diogène Laërce	NAMEpers	4
Droit-Mur	NAMEpers	4
Fourier	NAMEpers	4
François Ier	NAMEpers	4
Friedland	NAMEpers	4
Georges Pontmercy	NAMEpers	4
Grenoble	NAMEplace	4
Issy	NAMEpers	4
Jacquin Labarre	NAMEpers	4
Jean Mathieu	NAMEpers	4
Joubert	NAMEpers	4
Jéhovah	NAMEpers	4
Kellermann	NAMEpers	4
Lenoir	NAMEpers	4
Louis 11	NAMEpers	4
Machiavel	NAME	4
Marche	NAMEplace	4
Marie	NAMEpers	4
Marseille	NAMEplace	4
Matth	NAMEpers	4
Minerve	NAME	4
Morland	NAMEpers	4
Moïse	NAME	4
Ménilmontant	NAMEpers	4
N	NAMEpers	4
Neuilly	NAMEplace	4
Olympe	NAMEpers	4
Paméla	NAMEpers	4
Pan	NAME	4
Pierron	NAMEpers	4
Pyrénées	NAMEpers	4
Quiot	NAMEpers	4
Rhin	NAMEpers	4
Saint-Jean	NAMEplace	4
Saint-Simon	NAMEpers	4
Salomon	NAMEpers	4
Suisse	NAMEplace	4
Thermopyles	NAMEpers	4
Thèbes	NAMEpers	4
Thérèse	NAMEpers	4
Tranchelevent	NAMEpers	4
Trois-Dauphins	NAMEpers	4
Val-de-Grâce	NAMEpers	4
Victurnien	NAMEpers	4
Zelma	NAMEpers	4
de Berry	NAMEpers	4
de France	NAMEpers	4
de Genlis	NAMEpers	4
de Rome	NAMEpers	4
de Saint-Germain	NAMEpers	4
faubourg du temple	NAMEplace	4
rue Clocheperce	NAMEplace	4
rue Culture-Sainte-Catherine	NAMEplace	4
rue Ménilmontant	NAMEplace	4
rue Rambuteau	NAMEplace	4
rue Saint-Dominique	NAMEplace	4
rue Saint-Honoré	NAMEplace	4
rue de Paris	NAMEplace	4
rue de Rivoli	NAMEplace	4
rue du Roi-de-Sicile	NAMEplace	4
rue pavé	NAMEplace	4
saint Bernard	NAMEpers	4
18	NAMEpers	3
Albe	NAMEpers	3
Alix	NAMEpers	3
Alvarès	NAMEpers	3
Anceau	NAMEpers	3
Ancône	NAMEplace	3
Antin	NAMEplace	3
Aristogiton	NAMEpers	3
Auguste	NAMEpers	3
Basile	NAMEpers	3
Beaulieu	NAMEplace	3
Beaumarchais	NAME	3
Beccaria	NAMEpers	3
Bouchard	NAMEpers	3
Boulonnais	NAMEplace	3
Brennus	NAMEpers	3
Byron	NAMEpers	3
Caton	NAMEpers	3
Caïn	NAMEpers	3
Chanvrerie	NAMEpers	3
Charlot	NAMEpers	3
Chastelar	NAMEpers	3
Chine	NAMEplace	3
Château-d'Eau	NAMEpers	3
Claude	NAMEpers	3
Coligny	NAMEplace	3
Coromandel	NAMEpers	3
Cravatte	NAMEpers	3
Dambray	NAMEpers	3
Deum	NAMEpers	3
Deux-Milliards	NAMEpers	3
Dieu Seigneur	NAME	3
Dismas	NAMEpers	3
Don	NAMEpers	3
Dubois	NAMEpers	3
Duchêne	NAMEpers	3
Duplat	NAMEpers	3
Durutte	NAMEpers	3
Ecclésiaste	NAMEpers	3
Edon	NAMEplace	3
Escoubleau	NAMEpers	3
Fesch	NAMEpers	3
Flandre	NAMEpers	3
Fontevrault	NAMEpers	3
Félix Tholomyès	NAMEpers	3
Gans	NAMEplace	3
Gerbaud	NAMEpers	3
Gesmas	NAMEpers	3
Gournay	NAMEplace	3
Géborand	NAMEpers	3
Henri 2	NAMEpers	3
Hercle	NAMEpers	3
Hercule	NAMEpers	3
Homme-Armé	NAMEpers	3
Hugo	NAMEpers	3
Ivry	NAMEpers	3
Jeanne d' arc	NAMEpers	3
Job	NAMEpers	3
Joya	NAMEpers	3
Jupiter	NAME	3
Kléber	NAMEpers	3
Lacoste	NAMEplace	3
Limoges	NAMEplace	3
Lodi	NAMEpers	3
Louis 13	NAMEpers	3
Louis XVII	NAMEpers	3
Lunebourg	NAMEpers	3
Madrid	NAMEplace	3
Maitland	NAMEpers	3
Malaquais	NAMEpers	3
Malte	NAMEplace	3
Mantoue	NAMEpers	3
Marceau	NAMEpers	3
Marie-Claude	NAMEpers	3
Marne	NAMEplace	3
Maubert	NAMEpers	3
Maubuée	NAMEpers	3
Mavot	NAMEpers	3
Metternich	NAMEpers	3
Michel	NAMEpers	3
Milhaud	NAMEplace	3
Milton	NAME	3
Mont-Cassin	NAMEpers	3
Moskowa	NAMEpers	3
Mouffetard	NAMEpers	3
Méditerranée	NAMEplace	3
Mélas	NAMEpers	3
Nanterre	NAMEplace	3
Naples	NAMEplace	3
Nicolas	NAMEpers	3
Ninive	NAMEpers	3
P	NAMEpers	3
Pabourgeot	NAMEpers	3
Pascal	NAMEpers	3
Phocion	NAMEpers	3
Picpus	NAMEpers	3
Pierre	NAMEpers	3
Plaute	NAMEpers	3
Poitiers	NAMEplace	3
Polignac	NAMEplace	3
Prométhée	NAME	3
Prouvaire	NAMEpers	3
Puget	NAMEpers	3
Queyras	NAMEpers	3
Richelieu	NAMEpers	3
Roguet	NAMEpers	3
Rollin	NAME	3
Roméo	NAMEpers	3
Rothschild	NAMEpers	3
Royol	NAMEpers	3
Saint-Esprit	NAMEplace	3
Saint-Eustache	NAMEplace	3
Saint-Georges	NAMEplace	3
Sainte-Avoye	NAMEpers	3
Sainte-Geneviève	NAMEplace	3
Sainte-Mechtilde	NAMEpers	3
Sancy	NAMEplace	3
Saragosse	NAMEpers	3
Savigny	NAMEplace	3
Shakespeare	NAME	3
Société	NAME	3
Somme	NAMEplace	3
Sorbonne	NAMEpers	3
Soye	NAMEplace	3
Sully-Prudhomme	NAMEpers	3
Sylla	NAMEpers	3
T.	NAMEpers	3
Talleyrand	NAME	3
Tartuffe	NAMEpers	3
Tibère	NAMEpers	3
Turgot	NAMEpers	3
Urbain Fabre	NAMEpers	3
Var	NAMEplace	3
Varsovie	NAMEpers	3
Vaubois	NAMEpers	3
Vieilles-Haudriettes	NAMEpers	3
Villers	NAMEplace	3
Vivian	NAMEpers	3
Wagram	NAMEpers	3
Watteau	NAMEpers	3
ascension	NAMEpers	3
chose	NAMEpers	3
de Condé	NAMEpers	3
de Courfeyrac	NAMEpers	3
de Léon	NAMEpers	3
de Prusse	NAMEpers	3
de Talleyrand	NAMEpers	3
de Villèle	NAMEpers	3
innocent	NAMEpers	3
mont Aventin	NAMEplace	3
rue Aubry-le-Boucher	NAMEplace	3
rue Blomet	NAMEplace	3
rue Croulebarbe	NAMEplace	3
rue Michel-le-Comte	NAMEpers	3
rue Montorgueil	NAMEplace	3
rue Saint-Martin	NAMEplace	3
rue Transnonain	NAMEplace	3
rue Vieille-du-Temple	NAMEplace	3
rue cassette	NAMEplace	3
rue de Chaffaut	NAMEplace	3
rue de Vaugirard	NAMEplace	3
rue du Chemin-Vert-Saint-Antoine	NAMEplace	3
rue du cadran	NAMEplace	3
rue du chaume	NAMEplace	3
rue madame	NAMEplace	3
Écosse	NAMEplace	3
2	NAMEpers	2
Abel	NAMEpers	2
Aisne	NAMEplace	2
Alceste	NAMEpers	2
Alexandrie	NAMEpers	2
Alfred	NAMEpers	2
Alighieri	NAMEpers	2
Alphonse	NAMEpers	2
Ambiorix	NAMEpers	2
Amelot	NAMEpers	2
Apollon	NAME	2
Apulée	NAMEpers	2
Arbre-sec	NAMEpers	2
Arche-Marion	NAMEpers	2
Artevelde	NAMEpers	2
Arthurs	NAMEpers	2
Aube	NAMEplace	2
Aubervilliers	NAMEplace	2
Augustin	NAMEpers	2
Avignon	NAMEplace	2
B 100 il	NAMEpers	2
Bagration	NAMEpers	2
Balzac	NAME	2
Baléares	NAMEplace	2
Bara	NAMEpers	2
Bathurst	NAMEpers	2
Bautzen	NAMEpers	2
Bayonne	NAMEplace	2
Benoît	NAMEpers	2
Bercy	NAMEpers	2
Bernard Guidonis	NAMEpers	2
Berthier	NAMEpers	2
Bestuchef	NAMEpers	2
Bienvenu Myriel	NAMEpers	2
Binche	NAMEpers	2
Bizarro	NAMEpers	2
Bièvre	NAMEpers	2
Blackman	NAMEpers	2
Blaise Poutrain	NAMEpers	2
Bolivar	NAMEpers	2
Bondy	NAMEplace	2
Bordeaux	NAMEplace	2
Boucherat	NAMEpers	2
Bourgaillard	NAMEpers	2
Bouvines	NAMEplace	2
Brest	NAMEplace	2
Briançon	NAMEplace	2
Brienne	NAMEplace	2
Brune	NAMEpers	2
Buonaparté	NAMEpers	2
Bérulle	NAMEplace	2
Bérésina	NAMEpers	2
COSETTE	NAMEpers	2
Cahors	NAMEplace	2
Calas	NAMEpers	2
Caligula	NAMEpers	2
Carnot	NAMEpers	2
Carthage	NAMEpers	2
Casimir Perier	NAMEpers	2
Castaing	NAMEpers	2
Cauteretz	NAMEpers	2
Caïphe	NAMEpers	2
Chapelle-Saint-Lambert	NAMEpers	2
Charles-Quint	NAMEpers	2
Charlotte	NAMEpers	2
Charonne	NAMEpers	2
Charras	NAMEplace	2
Charte-Touquet	NAMEpers	2
Chartres	NAMEplace	2
Chatou	NAMEplace	2
Chemin-Vert	NAMEpers	2
Christi	NAMEpers	2
Clairvaux	NAMEpers	2
Claude gueux	NAMEpers	2
Coblentz	NAMEpers	2
Colbert	NAMEpers	2
Colville	NAMEpers	2
Coupdesabot	NAMEpers	2
Coupelevent	NAMEpers	2
Cournand	NAME	2
Courtille	NAMEpers	2
Célimène	NAMEpers	2
César de bus	NAME	2
Dauphiné	NAMEplace	2
Dautun	NAMEpers	2
David d' Angers	NAMEpers	2
Decazes	NAMEpers	2
Delille	NAMEpers	2
Delorme	NAMEpers	2
Delphes	NAMEpers	2
Delvincourt	NAMEpers	2
Demi-Liard	NAMEpers	2
Diane	NAMEpers	2
Dieu Jésus-Christ	NAME	2
Dieu de Dieu	NAME	2
Diomède	NAME	2
Domitien	NAMEpers	2
Domon	NAMEpers	2
Donzelot	NAMEpers	2
Douai	NAMEplace	2
Dresde	NAMEpers	2
Drouet	NAMEpers	2
Dumont	NAMEpers	2
Dupuytren	NAMEpers	2
Dyle	NAMEpers	2
Décarrons	NAMEpers	2
Désaugiers	NAMEpers	2
Ecce	NAMEpers	2
Enfants-Rouges	NAMEpers	2
Eponine	NAMEpers	2
Erlon	NAMEplace	2
Esplandian	NAMEpers	2
Euphrasie Fauchelevent	NAMEpers	2
Euripide	NAME	2
Euryanthe	NAMEpers	2
Eusèbe	NAMEpers	2
Falstaff	NAMEpers	2
Ferdinand	NAMEpers	2
Fex	NAMEpers	2
Filspierre	NAMEpers	2
Folard	NAMEpers	2
Fontenoy	NAMEplace	2
Forioso	NAMEpers	2
Forêt-Noire	NAMEpers	2
Fouché	NAMEpers	2
Fualdès	NAMEpers	2
Fumade	NAMEpers	2
Félix	NAMEpers	2
Gaillon	NAMEplace	2
Garibaldi	NAMEpers	2
Gaspard Bès	NAMEpers	2
Gassendi	NAMEpers	2
Gestas	NAMEplace	2
Goblet	NAMEpers	2
Goethe	NAME	2
Goliath	NAMEpers	2
Gordon	NAMEpers	2
Greuze	NAMEpers	2
Gribeauval	NAMEpers	2
Grimod de la Reynière	NAMEpers	2
Gros-Caillou	NAMEpers	2
Grégoire	NAMEpers	2
Guillaume	NAMEpers	2
Guillaume Van Kylsom	NAMEpers	2
Guilleminot	NAMEpers	2
Géorgiques	NAMEpers	2
Gérard	NAMEpers	2
Hacke	NAMEpers	2
Hal	NAMEpers	2
Harmodius	NAMEpers	2
Hautes-Alpes	NAMEplace	2
Havré	NAMEpers	2
Haxo	NAMEpers	2
Heidelberg	NAMEpers	2
Hercule Farnèse	NAMEpers	2
Hernani	NAMEpers	2
Hongrie	NAMEplace	2
Hulpe	NAMEpers	2
Hébert	NAMEpers	2
Hélène	NAMEpers	2
Irlande	NAMEplace	2
Isabeau	NAMEpers	2
Isaïe	NAMEpers	2
Isis	NAME	2
Jacques	NAMEpers	2
Je-nie-Dieu	NAMEpers	2
Jean-François Senault	NAMEpers	2
Jean-le-Cric	NAMEpers	2
John Brown	NAMEpers	2
Jolllly	NAMEpers	2
Joseph de Maistre	NAMEpers	2
Joséphine	NAMEpers	2
Julien	NAMEpers	2
Justinien	NAME	2
Jérusalem	NAMEpers	2
Keksekça	NAMEpers	2
Kekçaa	NAMEpers	2
Kosciusko	NAMEpers	2
Kruideniers	NAMEpers	2
Lamennais	NAMEpers	2
Lefebvre-Desnouettes	NAMEpers	2
Leipzig	NAMEpers	2
Lemblin	NAMEpers	2
Lesgueules	NAMEpers	2
Letellier	NAMEpers	2
Lille	NAMEplace	2
Lise	NAMEpers	2
Lombier	NAMEpers	2
Longchamps	NAMEplace	2
Louis	NAMEpers	2
Louis XV	NAMEpers	2
Louis XVI	NAMEpers	2
Louis XVIII	NAMEpers	2
Louis le grand	NAMEpers	2
Louison	NAMEpers	2
Louvel	NAMEpers	2
Louvois	NAMEplace	2
Loyson	NAMEpers	2
Luther	NAME	2
Lutzen	NAMEpers	2
Lègle	NAMEpers	2
Mack	NAMEpers	2
Mahomet	NAMEpers	2
Maillard	NAMEpers	2
Manuel	NAMEpers	2
Marc-Aurèle	NAMEpers	2
Marchangy	NAMEpers	2
Marché-aux-Chevaux	NAMEpers	2
Marcognet	NAMEpers	2
Maria	NAMEpers	2
Marie-Antoinette	NAMEpers	2
Marigny	NAMEplace	2
Marnix	NAMEpers	2
Martainville	NAMEpers	2
Mathusalem	NAMEpers	2
Mayence	NAMEpers	2
Merlonus Horstius	NAMEpers	2
Mesmer	NAMEpers	2
Messaline	NAMEpers	2
Meudon	NAMEplace	2
Michel-Ange	NAMEpers	2
Mitchell	NAMEpers	2
Mont-Saint-Éloy	NAMEpers	2
Montauban	NAMEplace	2
Montebello	NAMEpers	2
Montenotte	NAMEpers	2
Montfaucon	NAMEplace	2
Montmirail	NAMEplace	2
Montreuil	NAMEplace	2
Moscou	NAMEplace	2
Muffling	NAMEpers	2
Murat	NAMEpers	2
Musichetta	NAMEpers	2
Naigeon	NAMEpers	2
Nantes	NAMEplace	2
Needham	NAMEpers	2
Newton	NAMEpers	2
Nogent	NAMEplace	2
Nonaindières	NAMEpers	2
Norvège	NAMEplace	2
Némorin	NAMEpers	2
Ompteda	NAMEpers	2
Orme-Saint-Gervais	NAMEpers	2
Oscar	NAMEpers	2
Palafox	NAMEpers	2
Palais-Royal	NAMEpers	2
Pas-de-Calais	NAMEplace	2
Paul	NAMEpers	2
Perrault	NAME	2
Philippe de Néri	NAMEpers	2
Pigault-Lebrun	NAMEpers	2
Pirée	NAMEpers	2
Pisacane	NAMEpers	2
Platon	NAME	2
Pontoise	NAMEplace	2
Popincourt	NAMEpers	2
Porrichinelle	NAMEpers	2
Porte-Saint-Martin	NAMEpers	2
Porter	NAMEpers	2
Pot-aux-Roses	NAMEpers	2
Priape	NAME	2
Pritchard	NAMEpers	2
Prouvaires	NAMEpers	2
Prusse	NAMEpers	2
Puteaux	NAMEplace	2
Pylade	NAMEpers	2
Pélage	NAMEpers	2
Quatre-Bras	NAMEpers	2
Quénisset	NAMEpers	2
R	NAMEpers	2
Raphaël	NAMEpers	2
Roland	NAMEpers	2
Rouen	NAMEplace	2
Royer-Collard	NAMEpers	2
Rubicon	NAMEpers	2
Rylandt	NAMEpers	2
Régnier	NAMEpers	2
Saguet	NAMEpers	2
Saint-Barthélemy	NAMEplace	2
Saint-Benoît	NAMEplace	2
Saint-Bernard	NAMEplace	2
Saint-Denis	NAMEplace	2
Saint-Germain	NAMEplace	2
Saint-Germain-des-Prés	NAMEplace	2
Saint-Lazare	NAMEpers	2
Saint-Leu	NAMEplace	2
Saint-Victor	NAMEplace	2
Sainte-Aure	NAMEpers	2
Sainte-Marguerite	NAMEplace	2
Sainte-Marthe	NAMEplace	2
Saintonge	NAMEplace	2
Sainval	NAMEpers	2
Salamanque	NAMEpers	2
Schinderhannes	NAMEpers	2
Seigneur	NAME	2
Seine-et-Oise	NAMEplace	2
Senez	NAMEplace	2
Senlis	NAMEplace	2
Sept-Billards	NAMEpers	2
Sera	NAMEpers	2
Sicile	NAMEpers	2
Sieyès	NAMEpers	2
Sisyphe	NAME	2
Spartacus	NAMEpers	2
Strasbourg	NAMEplace	2
Strongylion	NAMEpers	2
Stuarts	NAMEpers	2
Suchet	NAMEpers	2
Suresnes	NAMEplace	2
Sybaris	NAMEpers	2
Talavera	NAMEpers	2
Tantale	NAME	2
Théodule Gille Normand	NAMEpers	2
Tibre	NAMEpers	2
Tivoli	NAMEpers	2
Tolleron	NAMEpers	2
Trestaillon	NAMEpers	2
Troie	NAMEpers	2
Turenne	NAMEplace	2
Turquie	NAMEplace	2
U.F.	NAMEpers	2
Ulbach	NAMEpers	2
Ulm	NAMEpers	2
Uxbridge	NAMEpers	2
Valois	NAMEpers	2
Vandeleur	NAMEpers	2
Vanves	NAMEplace	2
Vendée	NAMEplace	2
Versailles	NAMEplace	2
Vidocq	NAMEpers	2
Vignes-Saint-Marcel	NAMEpers	2
Villemomble	NAMEplace	2
Vincent de Paul	NAMEpers	2
Wathier	NAMEpers	2
Wavre	NAMEpers	2
Zieten	NAMEpers	2
Zoïle	NAMEpers	2
Zétulbé	NAMEpers	2
barge	NAMEpers	2
corbeau	NAMEpers	2
d' Angoulême	NAMEpers	2
d' Artois	NAMEpers	2
d' Ursule	NAMEpers	2
d' orange	NAMEpers	2
