forme	type	effectif
Marius	NAMEpers	1288
Jean Valjean	NAMEpers	1102
Cosette	NAMEpers	995
Thénardier	NAMEpers	589
Javert	NAMEpers	452
Paris	NAMEplace	387
Dieu	NAME	369
Gavroche	NAMEpers	302
Fauchelevent	NAMEpers	286
Enjolras	NAMEpers	250
Gille Normand	NAMEpers	235
Fantine	NAMEpers	205
M. Madeleine	NAMEpers	195
Courfeyrac	NAMEpers	181
Jondrette	NAMEpers	173
France	NAMEplace	158
Napoléon	NAME	126
Leblanc	NAMEpers	111
Waterloo	NAME	106
Montparnasse	NAMEplace	90
Combeferre	NAMEpers	89
Mabeuf	NAMEpers	89
Grantaire	NAMEpers	82
Mme Magloire	NAMEpers	77
Éponine	NAMEpers	77
Montfermeil	NAMEplace	75
Pontmercy	NAMEpers	74
Bossuet	NAME	73
Wellington	NAMEpers	66
Montreuil-sur-mer	NAMEplace	60
Tholomyès	NAMEpers	58
Brujon	NAMEpers	57
Digne	NAMEplace	56
Luxembourg	NAMEplace	56
Angleterre	NAMEplace	55
Toussaint	NAMEpers	52
rue plumet	NAMEplace	49
Europe	NAMEplace	48
Babet	NAMEpers	46
Boulatruelle	NAMEpers	46
Champmathieu	NAMEpers	44
Madeleine	NAMEpers	43
Favourite	NAMEpers	42
Seine	NAMEplace	42
père Madeleine	NAMEpers	41
rue de la Chanvrerie	NAMEplace	41
Austerlitz	NAME	39
Jésus-Christ	NAME	39
Théodule	NAMEpers	39
Arras	NAMEplace	37
Joly	NAMEpers	37
Bahorel	NAMEpers	36
Rome	NAMEplace	36
État	NAME	36
Hucheloup	NAMEpers	35
Louis-Philippe	NAMEpers	35
République	NAME	35
Voltaire	NAME	35
Laigle	NAMEpers	34
rue de l' Homme-Armé	NAMEplace	34
M. Marius	NAMEpers	32
Mont-Saint-Jean	NAMEplace	32
Nicolette	NAMEpers	32
César	NAME	31
Corinthe	NAMEplace	30
monseigneur Bienvenu	NAMEpers	30
Gueulemer	NAMEpers	29
Hougomont	NAMEpers	29
Magnon	NAMEpers	29
Toulon	NAMEplace	29
Blachevelle	NAMEpers	28
Baptistine	NAMEpers	27
Bonaparte	NAMEpers	27
Filles-du-Calvaire	NAMEplace	27
Myriel	NAMEpers	27
Simplice	NAMEpers	27
Feuilly	NAMEpers	26
Jean Prouvaire	NAMEpers	26
Petit-Gervais	NAMEpers	25
Gorbeau	NAMEpers	24
Italie	NAMEplace	24
Petit-Picpus	NAMEplace	23
Azelma	NAMEpers	22
Blücher	NAMEpers	22
Fauvent	NAMEpers	22
Révolution	NAME	22
Espagne	NAMEplace	21
Mestienne	NAMEpers	21
rue Saint-Denis	NAMEplace	21
Champs-Élysées	NAMEplace	20
Louis 18	NAMEpers	20
Saint-Merry	NAMEplace	20
faubourg Saint-Antoine	NAMEplace	20
Claquesous	NAMEpers	19
Genappe	NAMEpers	19
Mars	NAME	19
Ursule	NAMEpers	19
Vernon	NAMEpers	19
rue Polonceau	NAMEplace	19
Dahlia	NAMEpers	18
La Fayette	NAMEpers	18
M. Jean	NAMEpers	18
Plutarque	NAME	18
Saint-Sacrement	NAME	18
Bigrenaille	NAMEpers	17
Fabantou	NAMEpers	17
Haie-Sainte	NAMEplace	17
Robespierre	NAMEpers	17
rue Picpus	NAMEplace	17
Cabuc	NAMEpers	16
Faverolles	NAMEplace	16
Mondétour	NAMEpers	16
Nivelles	NAMEplace	16
Scaufflaire	NAMEpers	16
Zéphine	NAMEpers	16
rue Droit-Mur	NAMEplace	16
Bruxelles	NAMEplace	15
Louis 16	NAMEpers	15
Marius Pontmercy	NAMEpers	15
Vaugirard	NAMEplace	15
rue Mondétour	NAMEplace	15
Allemagne	NAMEplace	14
Blondeau	NAMEpers	14
Cochepaille	NAMEpers	14
Danton	NAMEpers	14
Laffitte	NAMEpers	14
Lamarque	NAMEpers	14
Ney	NAMEplace	14
Brutus	NAMEpers	13
Bâtiment-Neuf	NAMEplace	13
Charlemagne	NAMEpers	13
Chenildieu	NAMEpers	13
Grèce	NAMEplace	13
Louis 15	NAMEpers	13
Rousseau	NAME	13
crucifixion	NAMEpers	13
Bruneseau	NAMEpers	12
Cambronne	NAMEpers	12
Fameuil	NAMEpers	12
G.	NAMEpers	12
Listolier	NAMEpers	12
Lon	NAMEpers	12
Londres	NAMEplace	12
Louis 14	NAMEpers	12
Maine	NAMEplace	12
Marat	NAMEplace	12
Ohain	NAMEplace	12
Saint-Jacques	NAMEplace	12
Venise	NAMEplace	12
saint Benoît	NAMEpers	12
Amérique	NAMEplace	11
B 100	NAMEpers	11
Braine-l'Alleud	NAMEplace	11
Chelles	NAMEplace	11
Dante	NAME	11
Euphrasie	NAMEpers	11
Iéna	NAMEplace	11
Jean	NAMEpers	11
Louvre	NAMEplace	11
Marguerite	NAMEpers	11
Martin Verga	NAMEpers	11
Montreuil-sur-Mer	NAMEplace	11
Musain	NAMEpers	11
Patron-Minette	NAMEpers	11
Petite-Truanderie	NAMEpers	11
Tacite	NAME	11
couvent du Petit-Picpus	NAMEplace	11
rue de Babylone	NAMEplace	11
rue de l' ouest	NAMEplace	11
rue du Petit-Banquier	NAMEplace	11
Alexandre	NAMEpers	10
Gribier	NAMEpers	10
Homère	NAME	10
Inde	NAMEplace	10
Laigle de Meaux	NAMEplace	10
Lobau	NAMEpers	10
Molière	NAME	10
Saint-Cloud	NAMEplace	10
Vénus	NAME	10
de T.	NAMEpers	10
rue Saint-Louis	NAMEplace	10
Bülow	NAMEpers	9
Catherine	NAMEpers	9
Charles 10	NAMEpers	9
Flore	NAME	9
Genrot	NAMEpers	9
Jeanne	NAMEpers	9
Lagny	NAMEplace	9
Saint-Martin	NAMEplace	9
Adam	NAMEpers	8
André Chénier	NAMEpers	8
Babylone	NAMEpers	8
Barthélemy	NAMEpers	8
Burgon	NAMEpers	8
Cîteaux	NAMEpers	8
