Id	Label	Weight
Marius	Marius	1288
Jean Valjean	Jean Valjean	1102
Cosette	Cosette	995
Thénardier	Thénardier	589
Javert	Javert	452
Gavroche	Gavroche	302
Fauchelevent	Fauchelevent	286
Enjolras	Enjolras	250
Gille Normand	Gille Normand	235
Fantine	Fantine	205
M. Madeleine	M. Madeleine	195
Courfeyrac	Courfeyrac	181
Jondrette	Jondrette	173
Leblanc	Leblanc	111
Mabeuf	Mabeuf	89
Combeferre	Combeferre	89
Grantaire	Grantaire	82
Mme Magloire	Mme Magloire	77
Éponine	Éponine	77
Pontmercy	Pontmercy	74
Wellington	Wellington	66
Tholomyès	Tholomyès	58
Brujon	Brujon	57
Toussaint	Toussaint	52
Boulatruelle	Boulatruelle	46
Babet	Babet	46
Champmathieu	Champmathieu	44
Madeleine	Madeleine	43
Favourite	Favourite	42
père Madeleine	père Madeleine	41
Théodule	Théodule	39
Joly	Joly	37
Bahorel	Bahorel	36
Louis-Philippe	Louis-Philippe	35
Hucheloup	Hucheloup	35
Laigle	Laigle	34
M. Marius	M. Marius	32
Nicolette	Nicolette	32
monseigneur Bienvenu	monseigneur Bienvenu	30
Hougomont	Hougomont	29
Magnon	Magnon	29
Gueulemer	Gueulemer	29
Blachevelle	Blachevelle	28
Myriel	Myriel	27
Baptistine	Baptistine	27
Bonaparte	Bonaparte	27
Simplice	Simplice	27
Jean Prouvaire	Jean Prouvaire	26
Feuilly	Feuilly	26
Petit-Gervais	Petit-Gervais	25
Gorbeau	Gorbeau	24
Blücher	Blücher	22
Azelma	Azelma	22
Fauvent	Fauvent	22
Mestienne	Mestienne	21
Louis 18	Louis 18	20
Genappe	Genappe	19
Vernon	Vernon	19
Ursule	Ursule	19
Claquesous	Claquesous	19
Dahlia	Dahlia	18
M. Jean	M. Jean	18
Robespierre	Robespierre	17
Plutarque	Plutarque	17
Bigrenaille	Bigrenaille	17
Fabantou	Fabantou	17
Zéphine	Zéphine	16
Scaufflaire	Scaufflaire	16
Mondétour	Mondétour	16
Cabuc	Cabuc	16
Louis 16	Louis 16	15
Marius Pontmercy	Marius Pontmercy	15
Blondeau	Blondeau	14
Danton	Danton	14
Laffitte	Laffitte	14
Cochepaille	Cochepaille	14
Louis 15	Louis 15	13
Brutus	Brutus	13
Chenildieu	Chenildieu	13
crucifixion	crucifixion	13
Charlemagne	Charlemagne	13
G.	G.	12
Listolier	Listolier	12
Fameuil	Fameuil	12
Louis 14	Louis 14	12
Cambronne	Cambronne	12
saint Benoît	saint Benoît	12
Lon	Lon	12
Bruneseau	Bruneseau	12
Jean	Jean	11
Euphrasie	Euphrasie	11
Marguerite	Marguerite	11
Martin Verga	Martin Verga	11
B 100	B 100	11
Musain	Musain	11
Patron-Minette	Patron-Minette	11
Petite-Truanderie	Petite-Truanderie	11
Alexandre	Alexandre	10
Lobau	Lobau	10
Gribier	Gribier	10
de T.	de T.	10
Bülow	Bülow	9
Catherine	Catherine	9
Genrot	Genrot	9
Charles 10	Charles 10	9
Jeanne	Jeanne	9
Cîteaux	Cîteaux	8
Adam	Adam	8
Babylone	Babylone	8
Plancenoit	Plancenoit	8
Burgon	Burgon	8
André Chénier	André Chénier	8
Panchaud	Panchaud	8
Barthélemy	Barthélemy	8
Soult	Soult	7
Saint-Jacques-du-Haut-Pas	Saint-Jacques-du-Haut-Pas	7
Baloup	Baloup	7
Foy	Foy	7
Brunswick	Brunswick	7
Papelotte	Papelotte	7
Mme Albertine	Mme Albertine	7
Jean-Jacques	Jean-Jacques	7
Néron	Néron	7
lieutenant Théodule	lieutenant Théodule	7
Fabre	Fabre	7
Allez-vous	Allez-vous	6
Buonaparte	Buonaparte	6
Henri IV	Henri IV	6
Diogène	Diogène	6
de Cosette	de Cosette	6
Henri 4	Henri 4	6
Reille	Reille	6
Nassau	Nassau	6
Belle-Alliance	Belle-Alliance	6
Rossomme	Rossomme	6
Somerset	Somerset	6
Frischemont	Frischemont	6
Grouchy	Grouchy	6
Vienne	Vienne	6
Annibal	Annibal	6
de Rohan	de Rohan	6
Père-Lachaise	Père-Lachaise	6
Lacenaire	Lacenaire	6
Washington	Washington	6
Madelonnettes	Madelonnettes	6
Bel-Air	Bel-Air	6
Lamarque	Lamarque	6
Fannicot	Fannicot	6
Utrecht	Utrecht	5
Louis 17	Louis 17	5
O	O	5
Labarre	Labarre	5
Valjean	Valjean	5
David	David	5
Talma	Talma	5
Ève	Ève	5
C'en	C'en	5
Saint-Pol	Saint-Pol	5
Tinques	Tinques	5
Pardine	Pardine	5
Bauduin	Bauduin	5
Hill	Hill	5
Kempt	Kempt	5
Ponsonby	Ponsonby	5
Benjamin Constant	Benjamin Constant	5
Bernard	Bernard	5
Delord	Delord	5
Léonidas	Léonidas	5
Wurmser	Wurmser	5
Tryphon	Tryphon	5
Ponine	Ponine	5
de Clermont-Tonnerre	de Clermont-Tonnerre	5
Lesgle	Lesgle	5
Genflot	Genflot	5
Gisquet	Gisquet	5
Richefeu	Richefeu	5
Bugeaud	Bugeaud	5
Cournet	Cournet	5
Thénard	Thénard	5
Clinton	Clinton	4
Salomon	Salomon	4
Jéhovah	Jéhovah	4
Cent-Jours	Cent-Jours	4
Thérèse	Thérèse	4
Croix-de-Colbas	Croix-de-Colbas	4
Jacquin Labarre	Jacquin Labarre	4
Trois-Dauphins	Trois-Dauphins	4
Matth	Matth	4
N	N	4
de Berry	de Berry	4
Mars	Mars	4
de Rome	de Rome	4
Berry	Berry	4
Saint-Simon	Saint-Simon	4
Fourier	Fourier	4
de France	de France	4
Issy	Issy	4
Cléopâtre	Cléopâtre	4
Aspasie	Aspasie	4
Paméla	Paméla	4
Chabouillet	Chabouillet	4
Victurnien	Victurnien	4
Bamatabois	Bamatabois	4
Jean Mathieu	Jean Mathieu	4
Marie	Marie	4
Pierron	Pierron	4
Pyrénées	Pyrénées	4
Kellermann	Kellermann	4
Rhin	Rhin	4
Quiot	Quiot	4
Alten	Alten	4
Bertrand	Bertrand	4
Olympe	Olympe	4
Friedland	Friedland	4
Arcole	Arcole	4
Christophe Colomb	Christophe Colomb	4
Zelma	Zelma	4
Lenoir	Lenoir	4
Droit-Mur	Droit-Mur	4
saint Bernard	saint Bernard	4
de Genlis	de Genlis	4
Aumarais	Aumarais	4
de Saint-Germain	de Saint-Germain	4
Cunette	Cunette	4
Camille Desmoulins	Camille Desmoulins	4
Georges Pontmercy	Georges Pontmercy	4
Joubert	Joubert	4
Louis 11	Louis 11	4
Cougourde	Cougourde	4
François Ier	François Ier	4
Cromwell	Cromwell	4
Babeuf	Babeuf	4
Balizard	Balizard	4
Val-de-Grâce	Val-de-Grâce	4
Thèbes	Thèbes	4
Diogène Laërce	Diogène Laërce	4
Morland	Morland	4
Thermopyles	Thermopyles	4
Ménilmontant	Ménilmontant	4
Tranchelevent	Tranchelevent	4
Fesch	Fesch	3
Queyras	Queyras	3
Géborand	Géborand	3
Beccaria	Beccaria	3
Hugo	Hugo	3
Ecclésiaste	Ecclésiaste	3
Cravatte	Cravatte	3
Chastelar	Chastelar	3
Deum	Deum	3
Caton	Caton	3
Jeanne d' arc	Jeanne d' arc	3
Louis XVII	Louis XVII	3
Duchêne	Duchêne	3
Flandre	Flandre	3
Claude	Claude	3
Pascal	Pascal	3
Gerbaud	Gerbaud	3
Marie-Claude	Marie-Claude	3
de Talleyrand	de Talleyrand	3
18	18	3
Félix Tholomyès	Félix Tholomyès	3
Watteau	Watteau	3
Anglès	Anglès	3
Sylla	Sylla	3
Pierre	Pierre	3
de Villèle	de Villèle	3
Duplat	Duplat	3
Lunebourg	Lunebourg	3
Maitland	Maitland	3
Vivian	Vivian	3
Durutte	Durutte	3
Moskowa	Moskowa	3
Dubois	Dubois	3
de Condé	de Condé	3
de Prusse	de Prusse	3
Michel	Michel	3
Roguet	Roguet	3
Wagram	Wagram	3
Kléber	Kléber	3
Mélas	Mélas	3
Lodi	Lodi	3
Mantoue	Mantoue	3
Marceau	Marceau	3
Saragosse	Saragosse	3
P	P	3
Ivry	Ivry	3
Mouffetard	Mouffetard	3
Picpus	Picpus	3
Mont-Cassin	Mont-Cassin	3
Alix	Alix	3
Bouchard	Bouchard	3
de Léon	de Léon	3
Auguste	Auguste	3
Dismas	Dismas	3
Gesmas	Gesmas	3
innocent	innocent	3
Sainte-Mechtilde	Sainte-Mechtilde	3
Fontevrault	Fontevrault	3
Tibère	Tibère	3
ascension	ascension	3
Basile	Basile	3
Henri 2	Henri 2	3
Plaute	Plaute	3
Sully-Prudhomme	Sully-Prudhomme	3
Sorbonne	Sorbonne	3
Albe	Albe	3
Job	Job	3
Tartuffe	Tartuffe	3
Château-d'Eau	Château-d'Eau	3
Coromandel	Coromandel	3
Vaubois	Vaubois	3
T.	T.	3
Nicolas	Nicolas	3
Richelieu	Richelieu	3
Dambray	Dambray	3
Malaquais	Malaquais	3
Aristogiton	Aristogiton	3
Varsovie	Varsovie	3
de Courfeyrac	de Courfeyrac	3
Phocion	Phocion	3
Maubert	Maubert	3
Prouvaire	Prouvaire	3
Royol	Royol	3
Hercule	Hercule	3
Caïn	Caïn	3
Pabourgeot	Pabourgeot	3
Alvarès	Alvarès	3
Rothschild	Rothschild	3
chose	chose	3
