Id	Label	Weight
Deux-Milliards	Deux-Milliards	3
Urbain Fabre	Urbain Fabre	3
Metternich	Metternich	3
Maubuée	Maubuée	3
Louis 13	Louis 13	3
Charlot	Charlot	3
Turgot	Turgot	3
Ninive	Ninive	3
Roméo	Roméo	3
Mavot	Mavot	3
rue Michel-le-Comte	rue Michel-le-Comte	3
Vieilles-Haudriettes	Vieilles-Haudriettes	3
Sainte-Avoye	Sainte-Avoye	3
Hercle	Hercle	3
Don	Don	3
Chanvrerie	Chanvrerie	3
Brennus	Brennus	3
Anceau	Anceau	3
Homme-Armé	Homme-Armé	3
Escoubleau	Escoubleau	3
Joya	Joya	3
Puget	Puget	2
de Digne	de Digne	2
Augustin	Augustin	2
de Grand-Champ	de Grand-Champ	2
Gaspard Bès	Gaspard Bès	2
Pigault-Lebrun	Pigault-Lebrun	2
Naigeon	Naigeon	2
Needham	Needham	2
Vincent de Paul	Vincent de Paul	2
Bienvenu Myriel	Bienvenu Myriel	2
de cartouche	de cartouche	2
Louis XV	Louis XV	2
Maillard	Maillard	2
Letellier	Letellier	2
Marie-Antoinette	Marie-Antoinette	2
Louis le grand	Louis le grand	2
Louis XVIII	Louis XVIII	2
Prusse	Prusse	2
de sale	de sale	2
Michel-Ange	Michel-Ange	2
Marc-Aurèle	Marc-Aurèle	2
saint Jérôme	saint Jérôme	2
Gassendi	Gassendi	2
golfe Juan	golfe Juan	2
de R.	de R.	2
saint Pierre	saint Pierre	2
Forêt-Noire	Forêt-Noire	2
Isabeau	Isabeau	2
Montenotte	Montenotte	2
Claude gueux	Claude gueux	2
Jean-le-Cric	Jean-le-Cric	2
lynch	lynch	2
Forioso	Forioso	2
Tolleron	Tolleron	2
Louis	Louis	2
Gros-Caillou	Gros-Caillou	2
Dautun	Dautun	2
Louis XVI	Louis XVI	2
Marchangy	Marchangy	2
d' Angoulême	d' Angoulême	2
de Sassenaye	de Sassenaye	2
Lemblin	Lemblin	2
Valois	Valois	2
Louvel	Louvel	2
Carnot	Carnot	2
Decazes	Decazes	2
Loyson	Loyson	2
David d' Angers	David d' Angers	2
Lamennais	Lamennais	2
de Vaublanc	de Vaublanc	2
Dupuytren	Dupuytren	2
de Neufchâteau	de Neufchâteau	2
Grégoire	Grégoire	2
Royer-Collard	Royer-Collard	2
d' Artois	d' Artois	2
Quatre-Bras	Quatre-Bras	2
Arthurs	Arthurs	2
Oscar	Oscar	2
Joséphine	Joséphine	2
Alphonse	Alphonse	2
janvier	janvier	2
Castaing	Castaing	2
Delvincourt	Delvincourt	2
Diane	Diane	2
Greuze	Greuze	2
Delorme	Delorme	2
Pirée	Pirée	2
Grimod de la Reynière	Grimod de la Reynière	2
Félix	Félix	2
Guillaume	Guillaume	2
Géorgiques	Géorgiques	2
Désaugiers	Désaugiers	2
Apulée	Apulée	2
Goliath	Goliath	2
de La Fayette	de La Fayette	2
Eponine	Eponine	2
Alfred	Alfred	2
Jacques	Jacques	2
Fouché	Fouché	2
Vidocq	Vidocq	2
Joseph de Maistre	Joseph de Maistre	2
Bolivar	Bolivar	2
Christi	Christi	2
Alighieri	Alighieri	2
Bourgaillard	Bourgaillard	2
Mont-Saint-Éloy	Mont-Saint-Éloy	2
Enfants-Rouges	Enfants-Rouges	2
Je-nie-Dieu	Je-nie-Dieu	2
Hulpe	Hulpe	2
Guilleminot	Guilleminot	2
Guillaume Van Kylsom	Guillaume Van Kylsom	2
Blackman	Blackman	2
Hal	Hal	2
Jérusalem	Jérusalem	2
Colville	Colville	2
Gribeauval	Gribeauval	2
Folard	Folard	2
d' orange	d' orange	2
Gordon	Gordon	2
Haxo	Haxo	2
Mitchell	Mitchell	2
Ompteda	Ompteda	2
Talavera	Talavera	2
Salamanque	Salamanque	2
Uxbridge	Uxbridge	2
Donzelot	Donzelot	2
Marcognet	Marcognet	2
Wavre	Wavre	2
Bérésina	Bérésina	2
Leipzig	Leipzig	2
Lefebvre-Desnouettes	Lefebvre-Desnouettes	2
Wathier	Wathier	2
Murat	Murat	2
Colbert	Colbert	2
Hacke	Hacke	2
Vandeleur	Vandeleur	2
Muffling	Muffling	2
Dyle	Dyle	2
Chapelle-Saint-Lambert	Chapelle-Saint-Lambert	2
Domon	Domon	2
Zieten	Zieten	2
Rylandt	Rylandt	2
Ulm	Ulm	2
Mack	Mack	2
Montebello	Montebello	2
Bathurst	Bathurst	2
Bautzen	Bautzen	2
Trestaillon	Trestaillon	2
Sera	Sera	2
Coblentz	Coblentz	2
Palafox	Palafox	2
Havré	Havré	2
Porte-Saint-Martin	Porte-Saint-Martin	2
Marché-aux-Chevaux	Marché-aux-Chevaux	2
Vignes-Saint-Marcel	Vignes-Saint-Marcel	2
corbeau	corbeau	2
maître Renard	maître Renard	2
R	R	2
Ulbach	Ulbach	2
Dumont	Dumont	2
Goblet	Goblet	2
Clairvaux	Clairvaux	2
Philippe de Néri	Philippe de Néri	2
présentation	présentation	2
Maria	Maria	2
Ecce	Ecce	2
Écouen	Écouen	2
Zétulbé	Zétulbé	2
Sainte-Aure	Sainte-Aure	2
de Blemeur	de Blemeur	2
Drouet	Drouet	2
Julien	Julien	2
Eusèbe	Eusèbe	2
de bar	de bar	2
Calas	Calas	2
Caïphe	Caïphe	2
Merlonus Horstius	Merlonus Horstius	2
Tibre	Tibre	2
Bernard Guidonis	Bernard Guidonis	2
2	2	2
Benoît	Benoît	2
Jean-François Senault	Jean-François Senault	2
Charles-Quint	Charles-Quint	2
Bara	Bara	2
Courtille	Courtille	2
Mesmer	Mesmer	2
Delphes	Delphes	2
Messaline	Messaline	2
Domitien	Domitien	2
Saguet	Saguet	2
Sybaris	Sybaris	2
Kosciusko	Kosciusko	2
John Brown	John Brown	2
Garibaldi	Garibaldi	2
Pisacane	Pisacane	2
Régnier	Régnier	2
Fex	Fex	2
Newton	Newton	2
Tivoli	Tivoli	2
de Nevers	de Nevers	2
Bestuchef	Bestuchef	2
Fualdès	Fualdès	2
de La Mothe	de La Mothe	2
Mayence	Mayence	2
Berthier	Berthier	2
Sicile	Sicile	2
Ferdinand	Ferdinand	2
Alexandrie	Alexandrie	2
Lutzen	Lutzen	2
Dresde	Dresde	2
de Roquelaure	de Roquelaure	2
de Valentinois	de Valentinois	2
Mathusalem	Mathusalem	2
Buonaparté	Buonaparté	2
Harmodius	Harmodius	2
Isaïe	Isaïe	2
La Fayette	La Fayette	2
Lesgueules	Lesgueules	2
Lègle	Lègle	2
Jolllly	Jolllly	2
Pylade	Pylade	2
B 100 il	B 100 il	2
rue Jean-Jacques-Rousseau	rue Jean-Jacques-Rousseau	2
Louison	Louison	2
Heidelberg	Heidelberg	2
Caligula	Caligula	2
Strongylion	Strongylion	2
Épisthate	Épisthate	2
Carthage	Carthage	2
Paul	Paul	2
Sainval	Sainval	2
Musichetta	Musichetta	2
Charte-Touquet	Charte-Touquet	2
Mahomet	Mahomet	2
Rousseau	Rousseau	2
Cauteretz	Cauteretz	2
Hernani	Hernani	2
Sieyès	Sieyès	2
Raphaël	Raphaël	2
Spartacus	Spartacus	2
Schinderhannes	Schinderhannes	2
Arche-Marion	Arche-Marion	2
Hercule Farnèse	Hercule Farnèse	2
Brune	Brune	2
Abel	Abel	2
Kruideniers	Kruideniers	2
Bizarro	Bizarro	2
Célimène	Célimène	2
Demi-Liard	Demi-Liard	2
d' Ursule	d' Ursule	2
U.F.	U.F.	2
Coupdesabot	Coupdesabot	2
Saint-Lazare	Saint-Lazare	2
Stuarts	Stuarts	2
Pritchard	Pritchard	2
Casimir Perier	Casimir Perier	2
Quénisset	Quénisset	2
Arbre-sec	Arbre-sec	2
Sept-Billards	Sept-Billards	2
Manuel	Manuel	2
faubourg Antoine	faubourg Antoine	2
Némorin	Némorin	2
Bièvre	Bièvre	2
Gérard	Gérard	2
Théodule Gille Normand	Théodule Gille Normand	2
Euryanthe	Euryanthe	2
barge	barge	2
Orme-Saint-Gervais	Orme-Saint-Gervais	2
Keksekça	Keksekça	2
Kekçaa	Kekçaa	2
Porrichinelle	Porrichinelle	2
Fumade	Fumade	2
Charonne	Charonne	2
Bercy	Bercy	2
Décarrons	Décarrons	2
Nonaindières	Nonaindières	2
Coupelevent	Coupelevent	2
Alceste	Alceste	2
Hébert	Hébert	2
Rubicon	Rubicon	2
Lombier	Lombier	2
Filspierre	Filspierre	2
Roland	Roland	2
Popincourt	Popincourt	2
Charlotte	Charlotte	2
Pot-aux-Roses	Pot-aux-Roses	2
Bossuet	Bossuet	2
Palais-Royal	Palais-Royal	2
Prouvaires	Prouvaires	2
Ambiorix	Ambiorix	2
Artevelde	Artevelde	2
Marnix	Marnix	2
Pélage	Pélage	2
COSETTE	COSETTE	2
Porter	Porter	2
mademoiselle Cosette	mademoiselle Cosette	2
Lise	Lise	2
Zoïle	Zoïle	2
Suchet	Suchet	2
Falstaff	Falstaff	2
Troie	Troie	2
Esplandian	Esplandian	2
Boucherat	Boucherat	2
Chemin-Vert	Chemin-Vert	2
Amelot	Amelot	2
Blaise Poutrain	Blaise Poutrain	2
de Sourdis	de Sourdis	2
Euphrasie Fauchelevent	Euphrasie Fauchelevent	2
Binche	Binche	2
Hélène	Hélène	2
Bagration	Bagration	2
Charles Myriel	Charles Myriel	1
Brignolles	Brignolles	1
le curé	le curé	1
de Simore	de Simore	1
Charles Brûlart de Genlis	Charles Brûlart de Genlis	1
Antoine de Mesgrigny	Antoine de Mesgrigny	1
Philippe de Vendôme	Philippe de Vendôme	1
de Saint-Honoré de Lérins	de Saint-Honoré de Lérins	1
François de Berton de grillon	François de Berton de grillon	1
Glandève	Glandève	1
Jean Soanen	Jean Soanen	1
Terre-Sainte	Terre-Sainte	1
bigot de Préameneu	bigot de Préameneu	1
Château-Arnoux	Château-Arnoux	1
Bienvenu	Bienvenu	1
Devoluy	Devoluy	1
Lô	Lô	1
de Lô	de Lô	1
de Champtercier	de Champtercier	1
Donnez-les	Donnez-les	1
Onté	Onté	1
Puerte	Puerte	1
Maistre	Maistre	1
Flavius Josèphe	Flavius Josèphe	1
Onkelos	Onkelos	1
Ptolémaïs	Ptolémaïs	1
Barleycourt	Barleycourt	1
lord Germain	lord Germain	1
Cornwallis	Cornwallis	1
Poinçot	Poinçot	1
Pissot	Pissot	1
Baruch	Baruch	1
Esdras justice	Esdras justice	1
de Chaliot	de Chaliot	1
tourteau	tourteau	1
d' Agde	d' Agde	1
Jussieu	Jussieu	1
Couloubroux	Couloubroux	1
Pompierry	Pompierry	1
Nisi Dominus	Nisi Dominus	1
Jauziers	Jauziers	1
Joug-de-l'Aigle	Joug-de-l'Aigle	1
Ubaye	Ubaye	1
Ubayette	Ubayette	1
Épicure	Épicure	1
d' Argens	d' Argens	1
Pyrrhon	Pyrrhon	1
Hobbes	Hobbes	1
Fiez-vous	Fiez-vous	1
Tertullien	Tertullien	1
Sardanapale	Sardanapale	1
Étienne	Étienne	1
Boischevron	Boischevron	1
Raoul de faux	Raoul de faux	1
Jean de faux	Jean de faux	1
Thomas de faux	Thomas de faux	1
Guy-Étienne-Alexandre	Guy-Étienne-Alexandre	1
Marie-Louise	Marie-Louise	1
Adrien-Charles de Gramont	Adrien-Charles de Gramont	1
de Gramont	de Gramont	1
Fauq	Fauq	1
Faoucq	Faoucq	1
Sylvanie	Sylvanie	1
S. madame	S. madame	1
Hu	Hu	1
Azraël	Azraël	1
Sinite	Sinite	1
Barabbas	Barabbas	1
Hérode	Hérode	1
G. vous	G. vous	1
Vermis	Vermis	1
Fouquier-Tinville	Fouquier-Tinville	1
Lamoignon-Bâville	Lamoignon-Bâville	1
Jourdan-Coupe-Tête	Jourdan-Coupe-Tête	1
de l' État	de l' État	1
Peteghem	Peteghem	1
Sainte-Claire	Sainte-Claire	1
Perrette	Perrette	1
Tiridate	Tiridate	1
Sambre-et-Meuse	Sambre-et-Meuse	1
Patrem	Patrem	1
d' asseoir	d' asseoir	1
Grégoire 16	Grégoire 16	1
Élie	Élie	1
Ens	Ens	1
saint Paul	saint Paul	1
Drouot	Drouot	1
général Bertrand	général Bertrand	1
Labarre de la Croix-de-Colbas	Labarre de la Croix-de-Colbas	1
Lauzet	Lauzet	1
Alloz	Alloz	1
Escoublon	Escoublon	1
Puy-Moisson	Puy-Moisson	1
Tso-maraude	Tso-maraude	1
R.	R.	1
saint Matthieu	saint Matthieu	1
Paulin Musebois	Paulin Musebois	1
de Boischevron	de Boischevron	1
de Lucenet	de Lucenet	1
Gédéon Le Prévost	Gédéon Le Prévost	1
Tottlingen	Tottlingen	1
Danube	Danube	1
Jeanne Mathieu	Jeanne Mathieu	1
Vlajean	Vlajean	1
mère Jeanne	mère Jeanne	1
Maubert Isabeau	Maubert Isabeau	1
Cinq-Cents	Cinq-Cents	1
Buona-Parte	Buona-Parte	1
Basses-Alpes	Basses-Alpes	1
Guillons	Guillons	1
Cochefilet	Cochefilet	1
Bruguière de Sorsum	Bruguière de Sorsum	1
Pellegrini	Pellegrini	1
Bigottini	Bigottini	1
Odry	Odry	1
Saqui	Saqui	1
Delalot	Delalot	1
Pleignier	Pleignier	1
Carbonneau	Carbonneau	1
abbé Louis	abbé Louis	1
Champ-de-Mai	Champ-de-Mai	1
Marché-aux-Fleurs	Marché-aux-Fleurs	1
Chaumareix	Chaumareix	1
Géricault	Géricault	1
Selves	Selves	1
Soliman	Soliman	1
Messier	Messier	1
de Duras	de Duras	1
Ourika	Ourika	1
Mathurin Bruneau	Mathurin Bruneau	1
Bellart	Bellart	1
de Broè	de Broè	1
Paul-Louis Courier	Paul-Louis Courier	1
Arlincourt	Arlincourt	1
Claire d' Albe	Claire d' Albe	1
Malek-Adel	Malek-Adel	1
Cottin	Cottin	1
Franconi	Franconi	1
Paër	Paër	1
Agnese	Agnese	1
Saint-Avelle	Saint-Avelle	1
Edmond Géraud	Edmond Géraud	1
de Sicile	de Sicile	1
de Staël	de Staël	1
Arnault	Arnault	1
Redivivus	Redivivus	1
M. Piet	M. Piet	1
rue Thérèse	rue Thérèse	1
Bacot	Bacot	1
Canuel	Canuel	1
O'Mahony	O'Mahony	1
Chappedelaine	Chappedelaine	1
Delaverderie	Delaverderie	1
Trogoff	Trogoff	1
Pilorge	Pilorge	1
Lafon	Lafon	1
de Féletz	de Féletz	1
A.	A.	1
Hoffmann	Hoffmann	1
Z. Charles Nodier	Z. Charles Nodier	1
Thérèse Aubert	Thérèse Aubert	1
de Trinquelague	de Trinquelague	1
Clausel de Montals	Clausel de Montals	1
Clausel de Coussergues	Clausel de Coussergues	1
de Salaberry	de Salaberry	1
Philibert	Philibert	1
Fabvier	Fabvier	1
Bavoux	Bavoux	1
Pélicier	Pélicier	1
de pin	de pin	1
Amasie	Amasie	1
Dappes	Dappes	1
Dufour	Dufour	1
Byron	Byron	1
Millevoye	Millevoye	1
baron	baron	1
Caron	Caron	1
Félicité Robert	Félicité Robert	1
Delaveau	Delaveau	1
Récamier	Récamier	1
abbé Grégoire	abbé Grégoire	1
Bal-Sauvage	Bal-Sauvage	1
Ligny	Ligny	1
Arabie	Arabie	1
Ossian	Ossian	1
Fantine la blond	Fantine la blond	1
Adolphe	Adolphe	1
Gustave	Gustave	1
Yungfrau	Yungfrau	1
Faccia	Faccia	1
Tête-Noire	Tête-Noire	1
Éléonore	Éléonore	1
Labouïsse	Labouïsse	1
Galatée	Galatée	1
Érigone	Érigone	1
Junons	Junons	1
Coustou	Coustou	1
Barberousse	Barberousse	1
Lancret	Lancret	1
Urfé	Urfé	1
Bourguin	Bourguin	1
Turcaret	Turcaret	1
de Bernis	de Bernis	1
Tolosa	Tolosa	1
Soy de Badajoz	Soy de Badajoz	1
Amor	Amor	1
Toda	Toda	1
Beaujon	Beaujon	1
de Gand	de Gand	1
Proportionnez	Proportionnez	1
Mamselle	Mamselle	1
de Montcalm	de Montcalm	1
Isaac	Isaac	1
Octave	Octave	1
Actium	Actium	1
Toryne	Toryne	1
Amphiaraüs	Amphiaraüs	1
Gula	Gula	1
Gulax	Gulax	1
Munatius Demens	Munatius Demens	1
Origène	Origène	1
Prosper	Prosper	1
Quirites	Quirites	1
Caballeros	Caballeros	1
Nunc	Nunc	1
Bacche	Bacche	1
Alicante	Alicante	1
Canaries	Canaries	1
Euphorion	Euphorion	1
miss Dahlia	miss Dahlia	1
Rosa	Rosa	1
Chassez-croisez	Chassez-croisez	1
Elleviou	Elleviou	1
Coural	Coural	1
Freiras	Freiras	1
bombarder	bombarder	1
Ber	Ber	1
Quin	Quin	1
Munophis d' Elephanta	Munophis d' Elephanta	1
Thygélion de Chéronée	Thygélion de Chéronée	1
Périclès	Périclès	1
Samos	Samos	1
Manon Lescaut	Manon Lescaut	1
Caillard	Caillard	1
Imogine	Imogine	1
roi Louis-Philippe	roi Louis-Philippe	1
Josefa	Josefa	1
Pepita	Pepita	1
Françoise	Françoise	1
Sillette	Sillette	1
Théodore	Théodore	1
Clélie	Clélie	1
Lodoïska	Lodoïska	1
de Scudéry	de Scudéry	1
Mme Barthélemy-Hadot	Mme Barthélemy-Hadot	1
Bournon-Malarme	Bournon-Malarme	1
Gulnare	Gulnare	1
Ducray-Duminil	Ducray-Duminil	1
Arthur	Arthur	1
Thomas	Thomas	1
Dumolard	Dumolard	1
d' Otrante	d' Otrante	1
Styx	Styx	1
Flachot	Flachot	1
Margueritte	Margueritte	1
d' Espagne	d' Espagne	1
Morillo	Morillo	1
Laennec	Laennec	1
Romain	Romain	1
Mathieu	Mathieu	1
Chan	Chan	1
Chan Mathieu	Chan Mathieu	1
Buseaupied	Buseaupied	1
Pierre Chesnelong	Pierre Chesnelong	1
Charcellay	Charcellay	1
Le bosser	Le bosser	1
Sicard	Sicard	1
de Paul	de Paul	1
Simplice de Sicile	Simplice de Sicile	1
Syracuse	Syracuse	1
Ségeste	Ségeste	1
Scaufflaër	Scaufflaër	1
Antoine Albin de Romainville	Antoine Albin de Romainville	1
Camblin	Camblin	1
Crinchon	Crinchon	1
de Conzié	de Conzié	1
Limosin	Limosin	1
Jean-Nicolas Pache	Jean-Nicolas Pache	1
Pache	Pache	1
Romorantin	Romorantin	1
Théramène	Théramène	1
Lourdes	Lourdes	1
T. F. p.	T. F. p.	1
saint Michel	saint Michel	1
Allonouaite	Allonouaite	1
Béjean	Béjean	1
Bojean	Bojean	1
Boujean	Boujean	1
Bois-Seigneur-Isaac	Bois-Seigneur-Isaac	1
Échabeau	Échabeau	1
Hugomons	Hugomons	1
de Somerel	de Somerel	1
Cooke	Cooke	1
frère Jérôme	frère Jérôme	1
Bachelu	Bachelu	1
Anne	Anne	1
Henquinez	Henquinez	1
