forme	type	effectif
Nautilus	NAMEpers	636
Nemo	NAMEpers	478
Ned land	NAMEpers	262
Ned	NAMEpers	177
Aronnax	NAMEpers	84
Abraham-Lincoln	NAMEpers	50
land	NAMEpers	42
Méditerranée	NAMEplace	40
Farragut	NAMEpers	39
France	NAMEplace	30
Amérique	NAMEplace	29
Europe	NAMEplace	28
Paris	NAMEplace	17
Gulf-Stream	NAMEpers	16
New York	NAMEpers	16
Vanikoro	NAMEpers	15
Dumont d' Urville	NAMEplace	14
Pérouse	NAMEplace	14
Scotia	NAMEpers	14
Afrique	NAMEplace	11
Papouasie	NAMEpers	11
Torrès	NAMEpers	11
Angleterre	NAMEplace	10
Atlantide	NAMEpers	10
Dieu	NAME	10
Japon	NAMEplace	10
Antilles	NAMEpers	9
Ceylan	NAMEpers	9
Gibraltar	NAMEpers	9
Maury	NAMEplace	9
Papouas	NAMEpers	9
Ruhmkorff	NAMEpers	9
île Crespo	NAMEplace	9
Asie	NAMEplace	8
Cook	NAMEpers	8
Dillon	NAMEpers	8
Irlande	NAMEplace	8
Équateur	NAMEplace	8
Chine	NAMEplace	7
Neptune	NAME	7
baie de Vigo	NAMEplace	7
cap Horn	NAMEplace	7
cap de Bonne-Espérance	NAMEplace	7
île Gueboroar	NAMEplace	7
Espagne	NAMEplace	6
Liverpool	NAMEpers	6
Rouquayrol	NAMEpers	6
golfe du Mexique	NAMEplace	6
Égypte	NAMEplace	6
Amazone	NAME	5
Aristote	NAME	5
Calcutta	NAMEplace	5
Entrecasteaux	NAMEplace	5
Norvège	NAMEplace	5
Pline	NAME	5
Saint-Laurent	NAMEplace	5
Syrie	NAMEplace	5
maître Ned	NAMEpers	5
Bouguer	NAMEpers	4
Brooklyn	NAMEpers	4
Bunzen	NAMEpers	4
Cadix	NAMEplace	4
Cunard	NAMEpers	4
Dumont-d'Urville	NAMEpers	4
Great-Eastern	NAMEpers	4
Grèce	NAMEplace	4
Gulf Stream	NAMEpers	4
Inde	NAMEplace	4
Italie	NAMEplace	4
Lacépède	NAMEplace	4
Midi	NAMEplace	4
Moïse	NAME	4
Nord	NAMEplace	4
Nouvelle-Calédonie	NAMEpers	4
Pomotou	NAMEpers	4
